leanos-serial-protocol	1
source-revision	26dda8e6c600df9d90770b14189a7cd6ab86fc4c
pre-admission-bootalloc-reason	topology-table-copy-budget
pre-admission-bootalloc-reason	topology-table-copy-error
pre-admission-bootalloc-reason	topology-table-copy-exposed
pre-admission-bootalloc-reason	topology-table-copy-final-cursor
pre-admission-bootalloc-reason	topology-table-copy-incomplete
pre-admission-bootalloc-reason	topology-table-copy-length
pre-admission-bootalloc-reason	topology-table-copy-next-byte
pre-admission-bootalloc-reason	topology-table-copy-offset
pre-admission-bootalloc-reason	topology-table-copy-partial-cursor
pre-admission-bootalloc-reason	topology-table-copy-sequence
pre-admission-bootalloc-reason	topology-table-copy-status
pre-admission-bootalloc-reason	topology-table-copy-stream
pre-admission-bootalloc-reason	topology-table-copy-terminal
